Fecha inicial;PM10
26/02/2024 11:59;14.52
26/02/2024 10:59;15.15
26/02/2024 9:59;18.99
26/02/2024 8:59;25.29
26/02/2024 7:59;36.9
26/02/2024 6:59;39.02
26/02/2024 5:59;39.14
26/02/2024 4:59;25.62
26/02/2024 3:59;22.18
26/02/2024 2:59;18.31
26/02/2024 1:59;15.4
26/02/2024 0:59;15.05
25/02/2024 23:59;17.56
25/02/2024 22:59;21.58
25/02/2024 21:59;22.82
25/02/2024 20:59;17.07
25/02/2024 19:59;18.11
25/02/2024 18:59;15.21
25/02/2024 17:59;12.22
25/02/2024 16:59;13.22
25/02/2024 15:59;14.83
25/02/2024 14:59;12.81
25/02/2024 13:59;11.6
25/02/2024 12:59;11.05
25/02/2024 11:59;9.07
25/02/2024 10:59;9.08
25/02/2024 9:59;14.16
25/02/2024 8:59;23.77
25/02/2024 7:59;36.5
25/02/2024 6:59;38.72
25/02/2024 5:59;27.82
25/02/2024 4:59;26.36
25/02/2024 3:59;28.09
25/02/2024 2:59;26.63
25/02/2024 1:59;20.31
25/02/2024 0:59;18.33
24/02/2024 23:59;18.1
24/02/2024 22:59;17.01
24/02/2024 21:59;18.88
24/02/2024 20:59;17.62
24/02/2024 19:59;19.44
24/02/2024 18:59;15.93
24/02/2024 17:59;17.59
24/02/2024 16:59;14.74
24/02/2024 15:59;15.07
24/02/2024 14:59;16.46
24/02/2024 13:59;15.9
24/02/2024 12:59;12.74
24/02/2024 11:59;15.88
24/02/2024 10:59;17.34
24/02/2024 9:59;20.07
24/02/2024 8:59;31.02
24/02/2024 7:59;42.53
24/02/2024 6:59;56.09
24/02/2024 5:59;29.42
24/02/2024 4:59;27.24
24/02/2024 3:59;29.28
24/02/2024 2:59;28.71
24/02/2024 1:59;30.41
24/02/2024 0:59;31.47
23/02/2024 23:59;30.47
23/02/2024 22:59;21.54
23/02/2024 21:59;25.54
23/02/2024 20:59;19.24
23/02/2024 19:59;24.65
23/02/2024 18:59;21.76
23/02/2024 17:59;15.54
23/02/2024 16:59;12.95
23/02/2024 15:59;11.47
23/02/2024 14:59;11.62
23/02/2024 13:59;14.31
23/02/2024 12:59;11.57
23/02/2024 11:59;9.95
23/02/2024 10:59;11.44
23/02/2024 9:59;15.7
23/02/2024 8:59;27.01
23/02/2024 7:59;49.41
23/02/2024 6:59;67.51
23/02/2024 5:59;31.29
23/02/2024 4:59;16.25
23/02/2024 3:59;7.8
23/02/2024 2:59;7.39
23/02/2024 1:59;8.28
23/02/2024 0:59;8.04
22/02/2024 23:59;8.38
22/02/2024 22:59;9.31
22/02/2024 21:59;9.63
22/02/2024 20:59;8.42
22/02/2024 19:59;14.01
22/02/2024 18:59;13.15
22/02/2024 17:59;5.24
22/02/2024 16:59;5.85
22/02/2024 15:59;5.04
22/02/2024 14:59;5.47
22/02/2024 13:59;4.55
22/02/2024 12:59;4.29
22/02/2024 11:59;3.76
22/02/2024 10:59;5.04
22/02/2024 9:59;17.13
22/02/2024 8:59;42.38
22/02/2024 7:59;57.34
22/02/2024 6:59;72.09
22/02/2024 5:59;72.0
22/02/2024 4:59;43.56
22/02/2024 3:59;26.47
22/02/2024 2:59;26.09
22/02/2024 1:59;31.88
22/02/2024 0:59;18.52
21/02/2024 23:59;22.88
21/02/2024 22:59;40.18
21/02/2024 21:59;20.33
21/02/2024 20:59;12.13
21/02/2024 19:59;14.19
21/02/2024 18:59;13.19
21/02/2024 17:59;11.94
21/02/2024 16:59;8.88
21/02/2024 15:59;8.86
21/02/2024 14:59;8.74
21/02/2024 13:59;8.72
21/02/2024 12:59;7.84
21/02/2024 11:59;8.9
21/02/2024 10:59;7.2
21/02/2024 9:59;21.91
21/02/2024 8:59;47.77
21/02/2024 7:59;59.96
21/02/2024 6:59;81.76
21/02/2024 5:59;68.01
21/02/2024 4:59;46.71
21/02/2024 3:59;18.28
21/02/2024 2:59;16.07
21/02/2024 1:59;15.62
21/02/2024 0:59;16.63
20/02/2024 23:59;17.16
20/02/2024 22:59;8.12
20/02/2024 21:59;8.98
20/02/2024 20:59;11.11
20/02/2024 19:59;8.89
20/02/2024 18:59;8.54
20/02/2024 17:59;10.66
20/02/2024 16:59;7.37
20/02/2024 15:59;7.87
20/02/2024 14:59;8.18
20/02/2024 13:59;11.81
20/02/2024 12:59;12.33
20/02/2024 11:59;13.13
20/02/2024 10:59;21.61
20/02/2024 9:59;27.17
20/02/2024 8:59;23.39
20/02/2024 7:59;41.02
20/02/2024 6:59;60.71
20/02/2024 5:59;44.38
20/02/2024 4:59;37.42
20/02/2024 3:59;21.11
20/02/2024 2:59;17.41
20/02/2024 1:59;13.94
20/02/2024 0:59;12.88
19/02/2024 23:59;16.48
19/02/2024 22:59;11.93
19/02/2024 21:59;10.91
19/02/2024 20:59;10.97
19/02/2024 19:59;13.34
19/02/2024 18:59;10.94
19/02/2024 17:59;10.1
19/02/2024 15:59;12.23
19/02/2024 14:59;11.69
19/02/2024 13:59;13.6
19/02/2024 12:59;14.32
19/02/2024 11:59;16.68
19/02/2024 10:59;18.3
19/02/2024 9:59;19.36
19/02/2024 8:59;37.9
19/02/2024 7:59;63.31
19/02/2024 6:59;89.49
19/02/2024 5:59;52.11
19/02/2024 4:59;36.62
19/02/2024 3:59;22.49
19/02/2024 2:59;19.66
19/02/2024 1:59;20.19
19/02/2024 0:59;13.29
18/02/2024 23:59;11.48
18/02/2024 22:59;16.58
18/02/2024 21:59;15.99
18/02/2024 20:59;16.25
18/02/2024 19:59;15.33
18/02/2024 18:59;13.95
18/02/2024 17:59;13.73
18/02/2024 16:59;11.15
18/02/2024 15:59;8.36
18/02/2024 14:59;8.4
18/02/2024 13:59;7.89
18/02/2024 12:59;7.95
18/02/2024 11:59;7.43
18/02/2024 10:59;7.71
18/02/2024 9:59;9.46
18/02/2024 8:59;23.13
18/02/2024 7:59;24.2
18/02/2024 6:59;27.78
18/02/2024 5:59;28.66
18/02/2024 4:59;26.85
18/02/2024 3:59;25.15
18/02/2024 2:59;23.85
18/02/2024 1:59;12.26
18/02/2024 0:59;9.7
17/02/2024 23:59;13.35
17/02/2024 22:59;17.84
17/02/2024 21:59;7.93
17/02/2024 20:59;10.97
17/02/2024 19:59;16.85
17/02/2024 18:59;14.89
17/02/2024 17:59;13.89
17/02/2024 16:59;8.64
17/02/2024 15:59;10.91
17/02/2024 14:59;12.63
17/02/2024 13:59;10.64
17/02/2024 12:59;8.99
17/02/2024 11:59;11.46
17/02/2024 10:59;16.97
17/02/2024 9:59;16.13
17/02/2024 8:59;16.95
17/02/2024 7:59;15.76
17/02/2024 6:59;12.23
17/02/2024 5:59;17.95
17/02/2024 4:59;8.48
17/02/2024 3:59;8.18
17/02/2024 2:59;7.68
17/02/2024 1:59;5.49
17/02/2024 0:59;7.92
16/02/2024 23:59;11.39
16/02/2024 22:59;7.09
16/02/2024 21:59;6.59
16/02/2024 20:59;7.93
16/02/2024 19:59;10.31
16/02/2024 18:59;9.15
16/02/2024 17:59;12.74
16/02/2024 16:59;10.59
16/02/2024 15:59;12.73
16/02/2024 14:59;16.31
16/02/2024 13:59;9.55
16/02/2024 11:59;11.45
16/02/2024 10:59;14.19
16/02/2024 9:59;17.85
16/02/2024 8:59;16.86
16/02/2024 7:59;21.65
16/02/2024 6:59;25.14
16/02/2024 5:59;27.0
16/02/2024 4:59;29.27
16/02/2024 3:59;21.94
16/02/2024 2:59;13.7
16/02/2024 1:59;11.11
16/02/2024 0:59;7.55
15/02/2024 23:59;13.15
15/02/2024 22:59;18.92
15/02/2024 21:59;17.63
15/02/2024 20:59;17.97
15/02/2024 19:59;19.9
15/02/2024 18:59;19.64
15/02/2024 17:59;21.38
15/02/2024 16:59;20.66
15/02/2024 15:59;15.08
15/02/2024 14:59;13.91
15/02/2024 13:59;12.56
15/02/2024 12:59;12.96
15/02/2024 11:59;17.73
15/02/2024 10:59;19.77
15/02/2024 9:59;18.13
15/02/2024 8:59;20.37
15/02/2024 7:59;21.78
15/02/2024 6:59;34.37
15/02/2024 5:59;41.64
15/02/2024 4:59;27.63
15/02/2024 3:59;24.95
15/02/2024 2:59;26.2
15/02/2024 1:59;23.56
15/02/2024 0:59;20.51
14/02/2024 23:59;24.2
14/02/2024 22:59;24.43
14/02/2024 21:59;34.01
14/02/2024 20:59;36.43
14/02/2024 19:59;40.28
14/02/2024 18:59;23.9
14/02/2024 17:59;24.55
14/02/2024 16:59;23.16
14/02/2024 15:59;22.27
14/02/2024 14:59;18.52
14/02/2024 13:59;21.3
14/02/2024 12:59;14.35
14/02/2024 11:59;11.36
14/02/2024 10:59;13.53
14/02/2024 9:59;9.63
14/02/2024 8:59;12.32
14/02/2024 7:59;29.49
14/02/2024 6:59;31.72
14/02/2024 5:59;29.7
14/02/2024 4:59;26.31
14/02/2024 3:59;25.34
14/02/2024 2:59;21.45
14/02/2024 1:59;19.19
14/02/2024 0:59;23.9
13/02/2024 23:59;21.54
13/02/2024 22:59;21.59
13/02/2024 21:59;18.44
13/02/2024 20:59;21.51
13/02/2024 19:59;19.98
13/02/2024 18:59;22.25
13/02/2024 17:59;26.16
13/02/2024 16:59;18.18
13/02/2024 15:59;14.61
13/02/2024 14:59;15.45
13/02/2024 13:59;12.95
13/02/2024 12:59;9.76
13/02/2024 11:59;12.18
13/02/2024 10:59;21.17
13/02/2024 9:59;26.25
13/02/2024 8:59;25.03
13/02/2024 7:59;63.64
13/02/2024 6:59;86.59
13/02/2024 5:59;75.29
13/02/2024 4:59;32.78
13/02/2024 3:59;39.45
13/02/2024 2:59;25.96
13/02/2024 1:59;26.24
13/02/2024 0:59;19.73
12/02/2024 23:59;16.07
12/02/2024 22:59;16.23
12/02/2024 21:59;17.39
12/02/2024 20:59;19.9
12/02/2024 19:59;18.97
12/02/2024 18:59;19.41
12/02/2024 17:59;17.43
12/02/2024 16:59;14.8
12/02/2024 15:59;9.44
12/02/2024 14:59;7.76
12/02/2024 13:59;7.44
