Fecha;PM10;PM2.5;Vel Vient0;Dir Vient0;NO;NO2;NOX;SO2;CO;OZONO;BC ug/m3;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
21/06/2024 20:00;16;5;2,3;110;7,2;8,2;15,4;0;0,5;3,8;1,4;13,2;0;71,3;0;0
21/06/2024 21:00;21;5;2,3;105;5,4;6,1;11,5;0;0,3;2,4;1,3;12,4;0;73,4;0;0
21/06/2024 22:00;16;4;2,4;110;5,7;4,8;10,5;0;0,3;2,1;0,8;11,4;0;76,7;0;0
21/06/2024 23:00;16;2;2,4;105;3,9;3,6;7,5;0;0,2;1,9;0,7;10,8;0;78,2;0;0
22/06/2024 0:00;12;2;2;111;3,5;3,9;7,4;0;0,2;2,4;0,7;10,6;0;79,7;0;0
22/06/2024 1:00;6;0,5;1,7;111;3,1;3,5;6,6;0;0,2;2,2;0,5;10,6;0;81,3;0;0
22/06/2024 2:00;12;0,4;1,4;114;2,9;3,6;6,5;0;0,2;1,4;0,4;11,2;0;80;0;0
22/06/2024 3:00;10;1;1;109;2,1;3,6;5,7;0;0,2;1;0,4;11,4;0;81,1;0;0
22/06/2024 4:00;11;1;0,7;99;4,5;6,7;11,2;0;0,3;0,7;0,7;11,7;0;81;0;0
22/06/2024 5:00;6;2;0,5;98;7,3;7,3;14,6;0;0,3;1,3;1,4;12;0;80,4;0;0
22/06/2024 6:00;27;7;0,9;113;19,8;10,6;30,4;0;0,5;0,5;3,2;12;0;81,6;0;0
22/06/2024 7:00;44;8;0,5;346;42,8;14,2;56,9;0;0,8;0,5;3,9;12,5;0;80,9;0;18
22/06/2024 8:00;79;18;0,3;264;80,4;22,9;103,4;0;1,5;0;10,8;13,5;0;78,6;0;93
22/06/2024 9:00;60;34;0,1;9;55,2;26,3;81,5;0;1,2;1,2;9;15,2;0;70,4;0;165
22/06/2024 10:00;55;17;0,1;246;30,9;24,8;55,7;0;0,9;3,9;7,6;17,8;0;60;0;297
22/06/2024 11:00;0;20;2;125;7,3;6,5;13,9;0;0,4;5,5;1,4;17,3;0;60,1;0,3;333
22/06/2024 12:00;9;3;2,6;121;4,1;5,3;9,5;0;0,3;6,2;0,8;18,7;0;54,3;0;439
22/06/2024 13:00;7;1;2,4;125;3,8;4,6;8,4;0;0,3;6,5;1;19,1;0;52,1;0;403
22/06/2024 14:00;9;0,7;2,8;124;3,7;4,5;8,2;0;0,3;6,2;0,7;19,4;0;52,4;0;379
22/06/2024 15:00;6;2;4;113;3,7;4,7;8,4;0;0,3;5,9;0,8;16,5;0;64;0;213
22/06/2024 16:00;2;1;3,1;113;3,3;4,4;7,7;0;0,3;5,8;0,5;17;0;59,7;0;211
22/06/2024 17:00;1;0,6;2,6;113;3,4;4,8;8,2;0;0,3;5,7;0,6;16,5;0;60,4;0;109
22/06/2024 18:00;7;0,7;1,8;158;4,4;5;9,3;0;0,3;5,9;0,7;15,2;0;65,2;0;26
22/06/2024 19:00;12;3;0,9;179;3,1;5,5;8,6;0;0,3;5;0,7;14,2;0;69,7;0;0
22/06/2024 20:00;13;5;1,5;158;4;6,1;10,2;0;0,3;4,9;0,6;14,3;0;69,1;0;0
22/06/2024 21:00;9;4;1,2;116;3,9;6,6;10,5;0;0,3;4,5;0,6;13,9;0;71,1;0;0
22/06/2024 22:00;7;3;2;116;3,3;5,1;8,5;0;0,3;5;0,6;13,8;0;71,7;0;0
22/06/2024 23:00;6;1;1,9;114;2,8;5,4;8,2;0;0,3;4,4;0,6;13,6;0;72,6;0;0
23/06/2024 0:00;9;0,4;2,2;111;2,8;4,7;7,5;0;0,2;4,3;0,4;13,4;0;73,1;0;0
23/06/2024 1:00;6;0,3;1,6;108;2,2;4,4;6,6;0;0,2;3,5;0,3;13,2;0;73,7;0;0
23/06/2024 2:00;9;0,3;1,5;105;2,1;3,9;6;0;0,2;2,5;0,3;12,7;0;76;0;0
23/06/2024 3:00;5;1;1;88;0,9;3,3;4,2;0;0,2;2,6;0,3;12,6;0;77,1;0;0
23/06/2024 4:00;3;1;1,3;99;1,1;3,2;4,3;0;0,2;2,5;0,3;12,5;0;77,6;0;0
23/06/2024 5:00;3;2;0,9;95;0,8;3,4;4,2;0;0,1;3,6;0,2;12,4;0;77,1;0;0
23/06/2024 6:00;11;2;0,4;87;4,6;8,9;13,5;0;0,3;0,9;1;11,9;0;80,7;0;0
23/06/2024 7:00;12;5;0,6;95;6,2;6,6;12,8;0;0,3;0,3;1,1;12,3;0;80,4;0;25
23/06/2024 8:00;30;3;0,1;308;14,9;13,5;28,4;0;0,5;1,2;2,3;14,1;0;75,5;0;103
23/06/2024 9:00;36;17;0,2;295;19;19,1;38,1;0;0,7;1,7;3,6;14,6;0;72;0;100
23/06/2024 10:00;34;13;0,4;279;15,5;18,3;33,8;0;0,7;4;3,8;16,4;0;66,3;0;238
23/06/2024 11:00;0;15;1,4;112;5;7,5;12,5;0;0,4;5,4;1,6;16,8;0;61,4;0;299
23/06/2024 12:00;8;7;2,4;97;2;4;6,1;0;0,2;5,9;0,3;17,5;0;58,9;0;434
23/06/2024 13:00;8;2;2,1;121;2,1;3,2;5,4;0;0,2;6,1;0,3;17,2;0;61,3;0;374
23/06/2024 14:00;12;0,2;2,4;123;2,5;3;5,5;0;0,2;6,2;0,2;18,1;0;56,3;0;387
23/06/2024 15:00;8;0,4;2,2;123;2,4;3,4;5,8;0;0,3;6,4;0,4;18,1;0;55,7;0;267
